acousticness,danceability,duration_s,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,popularity_over75
0.8809999999999999,0.644,313.093,0.212,0,2.22e-05,11,0.7979999999999999,-14.118,1,0.0347,117.072,0.441,0
0.955,0.627,295.093,0.184,0,0.000162,1,0.0986,-15.533,1,0.045,115.86399999999999,0.299,0
0.888,0.581,183.44,0.331,0,1.4999999999999999e-05,6,0.147,-14.087,1,0.243,88.303,0.642,0
0.93,0.442,147.907,0.39899999999999997,0,0.000499,6,0.912,-12.661,1,0.078,121.662,0.5539999999999999,0
0.9490000000000001,0.57,64.173,0.17600000000000002,0,0.0,6,0.147,-22.676,0,0.299,135.687,0.348,0
0.9109999999999999,0.565,232.64,0.153,0,0.0,10,0.358,-21.605999999999998,0,0.37799999999999995,103.309,0.434,0
0.932,0.598,233.52,0.212,0,2.3199999999999998e-05,6,0.6920000000000001,-15.078,0,0.0406,107.18299999999999,0.172,0
0.879,0.3670000000000001,213.84,0.307,0,0.0,11,0.73,-12.42,0,0.0568,172.86700000000005,0.284,0
0.9259999999999999,0.638,92.56,0.19,0,0.0,2,0.273,-22.268,1,0.485,61.211999999999996,0.41700000000000004,0
0.914,0.7,61.4,0.16399999999999998,0,0.0,10,0.237,-19.645,0,0.40299999999999997,99.184,0.31,0
0.9620000000000001,0.10800000000000001,375.28,0.254,0,0.0149,11,0.139,-14.49,1,0.0407,74.514,0.0362,0
1.04e-06,0.27699999999999997,243.873,0.9570000000000001,0,0.643,8,0.293,-5.6560000000000015,1,0.107,94.96,0.109,0
0.0303,0.158,444.16,0.855,0,0.0219,2,0.708,-7.001,1,0.078,99.535,0.0612,0
0.0006,0.57,196.387,0.77,0,0.0,11,0.0831,-8.431000000000001,1,0.0471,107.01299999999999,0.8320000000000001,0
0.424,0.633,170.305,0.6940000000000001,0,0.0,8,0.177,-9.187000000000001,0,0.4970000000000001,86.101,0.76,0
0.165,0.6990000000000001,83.853,0.5579999999999999,0,0.883,9,0.0932,-14.713,1,0.0541,99.99600000000001,0.39799999999999996,0
0.7,0.0692,533.707,0.285,0,0.6729999999999999,2,0.19899999999999998,-14.854000000000001,1,0.0482,78.572,0.0312,0
0.9690000000000001,0.314,74.30199999999999,0.0855,0,0.795,9,0.16,-15.775,1,0.0342,69.893,0.161,0
0.11199999999999999,0.851,238.907,0.818,0,2.94e-06,4,0.0945,-4.637,1,0.0789,119.006,0.8079999999999999,0
0.44799999999999995,0.669,91.193,0.243,0,0.0,8,0.061,-15.027000000000001,1,0.152,158.015,0.523,0
0.000717,0.585,457.306,0.866,0,0.846,9,0.159,-6.126,0,0.034,127.009,0.45,0
0.0644,0.828,257.8,0.4920000000000001,0,0.00428,0,0.128,-9.745,1,0.0276,120.148,0.789,0
0.147,0.6920000000000001,263.0,0.428,0,0.0,7,0.125,-8.955,0,0.263,139.668,0.33899999999999997,0
0.000717,0.585,457.306,0.866,0,0.846,9,0.159,-6.126,0,0.034,127.009,0.45,0
0.9690000000000001,0.314,74.30199999999999,0.0855,0,0.795,9,0.16,-15.775,1,0.0342,69.893,0.161,0
0.379,0.531,246.357,0.757,0,0.0,2,0.953,-8.036,1,0.0394,109.993,0.396,0
0.22399999999999998,0.599,181.956,0.812,0,0.0,9,0.983,-7.72,1,0.0377,119.932,0.693,0
0.000717,0.585,457.306,0.866,0,0.846,9,0.159,-6.126,0,0.034,127.009,0.45,0
0.000717,0.585,457.306,0.866,0,0.846,9,0.159,-6.126,0,0.034,127.009,0.45,0
0.861,0.49,232.30700000000002,0.297,0,0.0,0,0.0979,-6.504,1,0.0305,127.079,0.27399999999999997,0
0.0009019999999999999,0.4920000000000001,257.707,0.708,0,4.43e-06,2,0.132,-5.166,1,0.0467,168.636,0.345,0
0.0033399999999999997,0.528,244.34400000000002,0.816,0,0.39799999999999996,0,0.12300000000000001,-6.66,0,0.0445,149.986,0.201,0
0.7190000000000001,0.281,181.96,0.449,0,0.0,0,0.16399999999999998,-10.012,1,0.0325,176.12,0.177,0
0.000717,0.585,457.306,0.866,0,0.846,9,0.159,-6.126,0,0.034,127.009,0.45,0
0.0030600000000000002,0.489,437.45099999999996,0.875,0,0.0502,7,0.0647,-5.416,1,0.11199999999999999,149.984,0.188,0
0.00499,0.397,36.5,0.638,0,0.0,2,0.364,-7.256,1,0.17600000000000002,134.284,0.677,0
0.0236,0.542,33.8,0.794,0,0.0,7,0.14800000000000002,-6.412999999999999,1,0.303,143.377,0.81,0
0.0551,0.7,368.0,0.917,0,0.0248,5,0.11800000000000001,-5.678,0,0.0986,150.011,0.386,0
0.165,0.6990000000000001,83.853,0.5579999999999999,0,0.883,9,0.0932,-14.713,1,0.0541,99.99600000000001,0.39799999999999996,0
0.000717,0.585,457.306,0.866,0,0.846,9,0.159,-6.126,0,0.034,127.009,0.45,0
0.172,0.265,258.78700000000003,0.5760000000000001,0,0.0,5,0.0896,-6.99,0,0.0301,150.84,0.225,0
0.9690000000000001,0.314,74.30199999999999,0.0855,0,0.795,9,0.16,-15.775,1,0.0342,69.893,0.161,0
0.7,0.0692,533.707,0.285,0,0.6729999999999999,2,0.19899999999999998,-14.854000000000001,1,0.0482,78.572,0.0312,0
0.46799999999999997,0.625,218.707,0.53,0,0.0,7,0.0346,-10.577,1,0.0334,103.02600000000001,0.8690000000000001,0
0.0964,0.645,32.0,0.852,0,0.0,11,0.278,-7.289,0,0.374,137.985,0.737,0
0.122,0.6779999999999999,31.75,0.529,0,0.0,10,0.46,-7.468,1,0.363,130.26,0.9209999999999999,0
0.00021,0.261,31.62,0.8909999999999999,0,1.4400000000000001e-05,7,0.293,-6.621,1,0.225,131.767,0.934,0
0.009309999999999999,0.578,32.34,0.522,0,0.0,2,0.298,-7.157,0,0.36200000000000004,132.724,0.75,0
0.00499,0.397,36.5,0.638,0,0.0,2,0.364,-7.256,1,0.17600000000000002,134.284,0.677,0
0.0236,0.542,33.8,0.794,0,0.0,7,0.14800000000000002,-6.412999999999999,1,0.303,143.377,0.81,0
0.0582,0.583,31.54,0.879,0,0.0,6,0.3,-7.7170000000000005,0,0.325,130.629,0.615,0
0.282,0.675,33.08,0.7190000000000001,0,0.0,1,0.609,-6.893,1,0.33399999999999996,130.582,0.815,0
0.0010400000000000001,0.364,33.58,0.875,0,0.0,6,0.0802,-6.375,0,0.0909,132.955,0.6659999999999999,0
0.153,0.597,32.25,0.7859999999999999,0,0.0,1,0.384,-7.28,1,0.354,83.68299999999998,0.599,0
0.647,0.249,203.093,0.336,0,0.000197,7,0.442,-13.452,1,0.0465,175.408,0.16699999999999998,0
0.00425,0.583,214.74,0.61,1,0.000105,5,0.14,-5.638999999999999,0,0.0382,114.06,0.336,0
0.0665,0.525,185.093,0.816,0,0.0,3,0.325,-5.977,1,0.0337,172.005,0.9,0
0.00389,0.743,189.467,0.735,0,0.0,8,0.304,-5.3370000000000015,1,0.0382,104.979,0.631,0
0.0675,0.212,242.16,0.866,0,0.0,11,0.198,-5.709,0,0.20600000000000002,159.632,0.282,0
0.00866,0.601,187.14700000000002,0.8240000000000001,0,0.17300000000000001,0,0.155,-4.757,1,0.0474,167.965,0.24600000000000002,0
0.9690000000000001,0.314,74.30199999999999,0.0855,0,0.795,9,0.16,-15.775,1,0.0342,69.893,0.161,0
0.00499,0.397,36.5,0.638,0,0.0,2,0.364,-7.256,1,0.17600000000000002,134.284,0.677,0
0.0236,0.542,33.8,0.794,0,0.0,7,0.14800000000000002,-6.412999999999999,1,0.303,143.377,0.81,0
0.000102,0.594,436.11,0.961,0,0.909,7,0.11800000000000001,-7.649,1,0.0484,127.97,0.0476,0
3.64e-05,0.657,355.375,0.851,0,0.7909999999999999,6,0.0986,-7.893,0,0.0546,124.697,0.0954,0
2.97e-05,0.506,223.523,0.9520000000000001,0,0.8440000000000001,1,0.0389,-6.557,0,0.0439,131.997,0.149,0
0.165,0.6990000000000001,83.853,0.5579999999999999,0,0.883,9,0.0932,-14.713,1,0.0541,99.99600000000001,0.39799999999999996,0
0.9690000000000001,0.314,74.30199999999999,0.0855,0,0.795,9,0.16,-15.775,1,0.0342,69.893,0.161,0
0.7,0.0692,533.707,0.285,0,0.6729999999999999,2,0.19899999999999998,-14.854000000000001,1,0.0482,78.572,0.0312,0
