Country,Date,Song_Title,Artist,Streams,Rank
Global,2020-02-08,Intentions,"Justin Bieber, Quavo","3,617,588",10
Global,2020-02-09,The Box,Roddy Ricch,"6,129,237",1
Global,2020-02-09,Dance Monkey,Tones And I,"6,071,171",2
Global,2020-02-09,Blinding Lights,The Weeknd,"5,299,507",3
Global,2020-02-09,Don't Start Now,Dua Lipa,"4,556,301",4
Global,2020-02-09,Tusa,"KAROL G, Nicki Minaj","4,470,193",5
Global,2020-02-09,Falling,Trevor Daniel,"3,971,492",6
Global,2020-02-09,ROXANNE,Arizona Zervas,"3,833,679",7
Global,2020-02-09,Yummy,Justin Bieber,"3,631,848",8
Global,2020-02-09,Life Is Good (feat. Drake),Future,"3,605,888",9
Global,2020-02-09,Intentions,"Justin Bieber, Quavo","3,357,853",10
Global,2020-02-10,The Box,Roddy Ricch,"6,248,298",1
Global,2020-02-10,Dance Monkey,Tones And I,"6,120,699",2
Global,2020-02-10,Blinding Lights,The Weeknd,"5,770,212",3
Global,2020-02-10,Don't Start Now,Dua Lipa,"4,788,655",4
Global,2020-02-10,Tusa,"KAROL G, Nicki Minaj","4,242,505",5
Global,2020-02-10,Falling,Trevor Daniel,"4,096,609",6
Global,2020-02-10,Intentions,"Justin Bieber, Quavo","3,961,038",7
Global,2020-02-10,Life Is Good (feat. Drake),Future,"3,940,956",8
Global,2020-02-10,ROXANNE,Arizona Zervas,"3,829,839",9
Global,2020-02-10,Yummy,Justin Bieber,"3,735,866",10
Global,2020-02-11,The Box,Roddy Ricch,"6,400,792",1
Global,2020-02-11,Dance Monkey,Tones And I,"6,267,386",2
Global,2020-02-11,Blinding Lights,The Weeknd,"5,873,698",3
Global,2020-02-11,Don't Start Now,Dua Lipa,"4,885,774",4
Global,2020-02-11,Tusa,"KAROL G, Nicki Minaj","4,319,057",5
Global,2020-02-11,Falling,Trevor Daniel,"4,111,122",6
Global,2020-02-11,Intentions,"Justin Bieber, Quavo","4,065,831",7
