name,artist,year,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,valence,artists+name
"Don't Shed a Tear - Live at Bonn, Germany, 2005",'Paul Carrack',2020,0.379,0.531,246.357,0.757,0,0.0,2,0.953,-8.036,1,6,0.0394,109.993,0.396,"'Paul Carrack'Don't Shed a Tear - Live at Bonn, Germany, 2005"
"When You Walk in the Room - Live at Bonn, Germany, 2005",'Paul Carrack',2020,0.224,0.599,181.956,0.812,0,0.0,9,0.983,-7.72,1,12,0.0377,119.932,0.693,"'Paul Carrack'When You Walk in the Room - Live at Bonn, Germany, 2005"
Year 2008 - MSZ Remix,'Suffused',2020,0.000717,0.585,457.306,0.866,0,0.846,9,0.159,-6.126,0,22,0.034,127.009,0.45,'Suffused'Year 2008 - MSZ Remix
Year 2008 - MSZ Remix,'Suffused',2020,0.000717,0.585,457.306,0.866,0,0.846,9,0.159,-6.126,0,22,0.034,127.009,0.45,'Suffused'Year 2008 - MSZ Remix
I'm Movin' On - Remastered 2008,'Rascal Flatts',2020,0.861,0.49,232.307,0.297,0,0.0,0,0.0979,-6.504,1,34,0.0305,127.079,0.274,'Rascal Flatts'I'm Movin' On - Remastered 2008
Always the Same,'Bad Karma',2020,0.000902,0.4920000000000001,257.707,0.708,0,4.43e-06,2,0.132,-5.166,1,12,0.0467,168.636,0.345,'Bad Karma'Always the Same
Next Dimensional World (Qlimax Anthem 2008),'Technoboy',2020,0.00334,0.528,244.344,0.816,0,0.398,0,0.123,-6.66,0,22,0.0445,149.986,0.201,'Technoboy'Next Dimensional World (Qlimax Anthem 2008)
Half New Year,'The Progress',2020,0.7190000000000001,0.281,181.96,0.449,0,0.0,0,0.16399999999999998,-10.012,1,2,0.0325,176.12,0.177,'The Progress'Half New Year
Year 2008 - MSZ Remix,'Suffused',2020,0.000717,0.585,457.306,0.866,0,0.846,9,0.159,-6.126,0,22,0.034,127.009,0.45,'Suffused'Year 2008 - MSZ Remix
Scrap Attack (Defqon.1 Anthem 2009),'Headhunterz',2020,0.00306,0.489,437.451,0.875,0,0.0502,7,0.0647,-5.416,1,44,0.112,149.984,0.188,'Headhunterz'Scrap Attack (Defqon.1 Anthem 2009)
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2",'Armin van Buuren',2020,0.00499,0.397,36.5,0.638,0,0.0,2,0.364,-7.256,1,30,0.17600000000000002,134.284,0.677,"'Armin van Buuren'A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 2"
"A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1",'Armin van Buuren',2020,0.0236,0.542,33.8,0.794,0,0.0,7,0.14800000000000002,-6.4129999999999985,1,30,0.303,143.377,0.81,"'Armin van Buuren'A State Of Trance (ASOT 996) - Tune Of The Year 2019 Top 3, Pt. 1"
CTRL.ALT.DELETE (In Qontrol Anthem 2009),'Noisecontrollers',2020,0.0551,0.7,368.0,0.917,0,0.0248,5,0.118,-5.678,0,19,0.0986,150.011,0.386,'Noisecontrollers'CTRL.ALT.DELETE (In Qontrol Anthem 2009)
Year 2020,'Ema Spatula',2020,0.165,0.6990000000000001,83.853,0.5579999999999999,0,0.883,9,0.0932,-14.713,1,30,0.0541,99.996,0.398,'Ema Spatula'Year 2020
Year 2008 - MSZ Remix,'Suffused',2020,0.000717,0.585,457.306,0.866,0,0.846,9,0.159,-6.126,0,22,0.034,127.009,0.45,'Suffused'Year 2008 - MSZ Remix
Gone (Acoustic 2010),'Nothing More',2020,0.172,0.265,258.787,0.5760000000000001,0,0.0,5,0.0896,-6.99,0,32,0.0301,150.84,0.225,'Nothing More'Gone (Acoustic 2010)
"Year,2015",'Schoolgirl Byebye',2020,0.969,0.314,74.302,0.0855,0,0.795,9,0.16,-15.775,1,18,0.0342,69.893,0.161,"'Schoolgirl Byebye'Year,2015"
Longest Year - 2020,'Hammock',2020,0.7,0.0692,533.707,0.285,0,0.6729999999999999,2,0.199,-14.854,1,36,0.0482,78.572,0.0312,'Hammock'Longest Year - 2020
We're Gonna Change The World - Remastered 2010,'Matt Monro',2020,0.468,0.625,218.707,0.53,0,0.0,7,0.0346,-10.577,1,19,0.0334,103.026,0.8690000000000001,'Matt Monro'We're Gonna Change The World - Remastered 2010
A State Of Trance (ASOT 996) - A State Of Trance Tune Of The Year 2020,'Armin van Buuren',2020,0.0964,0.645,32.0,0.852,0,0.0,11,0.278,-7.289,0,30,0.374,137.985,0.737,'Armin van Buuren'A State Of Trance (ASOT 996) - A State Of Trance Tune Of The Year 2020
"A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1",'Armin van Buuren',2020,0.122,0.6779999999999999,31.75,0.529,0,0.0,10,0.46,-7.468,1,32,0.363,130.26,0.921,"'Armin van Buuren'A State Of Trance (ASOT 995) - ASOT Tune Of The Year 2020 voting now open: vote.astateoftrance.com, Pt. 1"
